"ID_ESCOLA","ID_REGIAO","ID_MUNICIPIO","IN_PUBLICA","ID_LOCALIZACAO","NIVEL_SOCIO_ECONOMICO","MEDIA_5EF_LP_2017","MEDIA_5EF_LP_2021","MEDIA_5EF_MT_2017","MEDIA_5EF_MT_2021","MEDIA_9EF_LP_2017","MEDIA_9EF_LP_2021","MEDIA_9EF_MT_2017","MEDIA_9EF_MT_2021","MEDIA_EM_LP_2017","MEDIA_EM_LP_2021","MEDIA_EM_MT_2017","MEDIA_EM_MT_2021"
61203471,5,6310582,1,1,"Grupo 4",194.97,NA,198.97,NA,252.87,NA,251.13,NA,NA,NA,NA,NA
61194366,5,6310582,1,1,"Grupo 3",214.96,NA,216.95,NA,243.9,NA,247.74,NA,NA,NA,NA,NA
61246140,5,6310582,1,1,"Grupo 4",210.65,NA,212.89,NA,271.15,NA,266.08,NA,NA,NA,NA,NA
61203472,5,6310582,1,1,"Grupo 4",216.93,NA,221.24,NA,276.96,NA,280.6,NA,NA,NA,NA,NA
61211901,5,6310582,1,1,"Grupo 5",NA,NA,NA,NA,284.31,NA,277.34,NA,NA,NA,NA,NA
61177534,5,6310582,1,1,"Grupo 4",216.97,NA,229.63,NA,270.13,NA,271.8,NA,NA,NA,NA,NA
61227999,5,6310582,1,1,"Grupo 4",237.06,NA,244.96,NA,259.32,NA,260.68,NA,NA,NA,NA,NA
61180809,5,6310582,1,1,"Grupo 4",221.7,NA,227.91,NA,269.42,NA,271.38,NA,NA,NA,NA,NA
61221346,5,6310582,1,1,"Grupo 4",217.1,NA,227.04,NA,258.31,NA,260.73,NA,269.7,NA,263.24,NA
61178546,5,6310582,1,1,"Grupo 4",206.99,NA,212.74,NA,262.88,NA,255.37,NA,259.3,NA,261.02,NA
61232775,5,6310582,1,1,"Grupo 4",229.8,NA,232.44,NA,264.33,NA,258.66,NA,NA,NA,NA,NA
61248879,5,6310582,1,1,"Grupo 3",198.01,NA,211.54,NA,248.14,NA,239.56,NA,NA,NA,NA,NA
61195565,5,6310582,1,1,"Grupo 4",209.44,NA,216.66,NA,264.87,NA,269.64,NA,NA,NA,NA,NA
61189455,5,6310582,1,2,"Grupo 3",208.99,NA,215.62,NA,251.79,NA,241.13,NA,NA,NA,NA,NA
61178547,5,6310582,1,2,"",194.36,NA,203.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
61198081,5,6310586,1,2,"",170.08,NA,185.76,NA,258.14,NA,251.1,NA,NA,NA,NA,NA
